PASS  SAMPLE the kit modules loaded with teams, garments and items to grade  | 32 teams, 8 garments, 256 items, catalogue 626 deep
PASS  PRICE the kit is never live with a price that is not a number: name the number before flipping the flag  | FOOTBALL_KIT_LIVE=true, price=4200
PASS  PRICE-CONTROL the same predicate refuses a live kit priced null, and accepts one priced 600  | live+null refused, live+0 refused, live+600 sold, not-live+600 refused
PASS  BUNDLE the bundle hands over every SOLD garment in every team, the helmet still dragging its three visors  | 5 tiles -> 256 ids (256 unique, 256 expected from the tiles' own grants, 256 from 32 teams x 8 keys)
PASS  BUNDLE-MATH the saving is the sum of the tiles minus the bundle, and both are null until both prices are numbers  | 5 pieces at 600 = 3000, bundle 2400, save 600; live today full=21000 bundle=16800 save=4200
PASS  BUNDLE-PRICE the bundle is never live without a number, and never live at a price that is not actually a discount  | FOOTBALL_KIT_LIVE=true, piece=4200, bundle=16800
PASS  BUNDLE-PRICE-CONTROL the same predicate refuses null, refuses a bundle dearer than the pieces, and accepts a real discount  | live+null refused, live+0 refused, live+3000 (no discount) refused, no piece price refused, live+2400 sold, not-live+2400 refused
PASS  SAVE the live bundle saves a real, positive amount, and it is exactly the price of one garment  | 5 garments at 4200 = 21000, bundle 16800, save 4200 (one garment is 4200)
PASS  BUNDLE-QUOTE footballBundleQuote prorates its 20% saving on whatever is missing, rounded to the nearest 100, for every owned count  | 0 owned -> {"cost":16800,"missing":5,"full":21000,"save":4200}; 1 owned -> {"cost":13400,"missing":4,"full":16800,"save":3400}; 2 owned -> {"cost":10100,"missing":3,"full":12600,"save":2500}; 3 owned -> {"cost":6700,"missing":2,"full":8400,"save":1700}; 4 owned -> {"cost":3400,"missing":1,"full":4200,"save":800}; 5 owned -> {"cost":null,"missing":0,"full":null,"save":null}
PASS  BUNDLE-BUYPATH buyFootballBundle refuses on the same predicate, and the shelf tile really routes to it  | js/loot.js -> buyFootballBundle guarded by footballBundleSellable(); js/app.js -> [data-buyfbkit] -> buyFootballBundle
PASS  PRICE-BUYPATH buyFootballItem still refuses on the same two conditions this file graded  | js/loot.js: `stocked = footballPieceSellable()`, then `!stocked || !ids.length || !garment?.sold || !Number.isFinite(cost) || cost <= 0`
PASS  BUY-ONE one garment bought leaves it owned in all 32 teams, nothing of the other garments, and the wallet down exactly one price  | bought "Jersey · 32 colourways": 32 football rows over 32 teams, keys {jersey}, 0 rows of other garments; coins 100000 -> 95800 (expected 95800, 32 rows, 1 key)
PASS  REPEAT the same garment in another team is already owned: refused, nothing granted, and not one coin charged  | buying fb-hollow-howlers-jersey after fb-boneyard-bruisers-jersey: refused 'owned', rows 32 -> 32, coins 95800 -> 95800 (delta 0, expected 0)
PASS  BUY-BUNDLE the bundle leaves all five garments in all 32 teams, on a wallet down exactly the bundle price  | started with 0 football rows; bought "The full kit · 32 colourways" (5 granted): 256 rows over 32 teams x 8 keys, every sold garment in every team: true; coins 100000 -> 83200 (expected 83200, 256 rows)
PASS  REPEAT-BUNDLE after the bundle, neither a garment tile nor the bundle tile can charge again  | garment: refused 'owned'; bundle: refused 'owned'; coins 83200 -> 83200 (delta 0, expected 0)
PASS  FLAG-TILL with nothing passed both buy paths read the live flag, and FOOTBALL_KIT_LIVE=true  | FOOTBALL_KIT_LIVE=true: garment sold for 4200, bundle sold for 13400, coins 100000 -> 82400 (the till says it took 17600, so 82400 is owed)
PASS  NOT-SOLD the till refuses a garment that has no shelf tile (a visor), and takes nothing for it  | visor60 at the till: refused 'not-stocked', coins 100000 -> 100000, 0 football rows granted
PASS  PET-WARN a fresh save with no lizard is warned when a pet tile or the bundle is bought, but not for a non-pet tile  | pet-helmet tile: true; bundle: true; jersey tile: false
PASS  PET-WARN-CONTROL a save that already owns a lizard is not warned, so the row above can fail  | pet-helmet tile: false; bundle: false
PASS  RAIL-SHARED every team of a garment is one master behind one pair of masks, so sliding the rail changes only two colours  | helmet: 1 master, 1 mask set, 32 distinct colourways over 2 layers; visor25: 1 master, 1 mask set, 32 distinct colourways over 2 layers; visor60: 1 master, 1 mask set, 32 distinct colourways over 2 layers; visor90: 1 master, 1 mask set, 32 distinct colourways over 2 layers; jersey: 1 master, 1 mask set, 32 distinct colourways over 2 layers; cleats: 1 master, 1 mask set, 29 distinct colourways over 1 layer (3 shared shell colours); pet-helmet: 1 master, 1 mask set, 32 distinct colourways over 2 layers; pet-jersey: 1 master, 1 mask set, 32 distinct colourways over 2 layers
PASS  RAIL-SHARED-CONTROL the same three counters report a fork when a garment really does carry per-team art  | a forked garment counts 32 masters instead of 1
PASS  RAIL-SLOT-TAG a football tint span declares its slot, and the wardrobe's painter selects by it  | footballTintHtml emits data-fbslot; the rail painter selects .fb-tint[data-fbslot="${slot}"]
PASS  POOL-COVERAGE every slot-keyed BH_ITEMS pool in js/app.js is declared RANDOM or CHOSEN, and every declaration still has a site  | 5 sites: randomOutfit:1291, teaserLook:2929, renderCharacter:16861, renderCharacter:16965, foeOutfitFor:25388
PASS  POOL-RANDOM no figure the player did not dress can draw the paid kit: every RANDOM pool excludes it  | 3 random pools: randomOutfit:1291 excludes the kit; teaserLook:2929 excludes the kit; foeOutfitFor:25388 excludes the kit
PASS  POOL-CONTROL the kit really is a large share of the pools those rows protect, so they are not guarding an empty set  | H: 128/185 = 69.2%, FW: 32/51 = 62.7%, T: 32/56 = 57.1%, CH: 32/32 = 100.0%, CT: 32/32 = 100.0%
PASS  PRECACHE the 384 tier the news hero and the Shop poster draw is in sw.js PRECACHE  | 16 files the two surfaces ask for, 16 listed
PASS  PRECACHE-CONTROL every file that row names is really on disk with bytes in it  | 16 files, smallest 652 bytes

FOOTBALL KIT AUDIT: 32 teams read apart, 256 items on eight triplets, the tint lands on the hex, and an unpriced kit is not for sale
